,ID,id_student,code_module,code_presentation,url_row,forumng_row,homepage_row,oucontent_row,subpage_row,resource_row,sharedsubpage_row,page_row,questionnaire_row,ouwiki_row,htmlactivity_row,ouelluminate_row,dataplus_row,externalquiz_row,repeatactivity_row,dualpane_row,quiz_row,glossary_row,oucollaborate_row,folder_row,url_col,forumng_col,homepage_col,oucontent_col,subpage_col,resource_col,sharedsubpage_col,page_col,questionnaire_col,ouwiki_col,htmlactivity_col,ouelluminate_col,dataplus_col,externalquiz_col,repeatactivity_col,dualpane_col,quiz_col,glossary_col,oucollaborate_col,folder_col
0,5,23629,BBB,2013B,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1,12,25107,BBB,2013B,3,4,4,3,4,4,0,0,0,0,0,3,0,0,0,0,4,3,0,0,2,4,4,1,1,2,0,0,0,0,0,2,0,0,0,0,3,4,0,0
2,32,27891,BBB,2013B,3,4,4,3,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3,43,29144,BBB,2013B,3,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,4,4,2,4,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0
4,71,31663,BBB,2013B,3,4,4,3,4,4,0,0,0,0,0,3,0,0,0,0,4,3,0,0,4,4,4,1,3,4,0,0,0,0,0,4,0,0,0,0,3,4,0,0
5,80,33666,BBB,2013B,4,4,4,3,4,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,2,4,2,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0
6,85,33915,FFF,2013B,3,4,4,4,4,3,0,2,2,3,0,3,3,0,0,2,4,0,0,0,4,4,4,4,4,3,0,4,4,4,0,4,4,0,0,4,4,0,0,0
7,90,34229,BBB,2013B,3,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0
8,92,34353,BBB,2013B,3,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
9,93,34431,BBB,2013B,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
