,ID,id_student,code_module,code_presentation,url_row,forumng_row,homepage_row,oucontent_row,subpage_row,resource_row,sharedsubpage_row,page_row,questionnaire_row,ouwiki_row,htmlactivity_row,ouelluminate_row,dataplus_row,externalquiz_row,repeatactivity_row,dualpane_row,quiz_row,glossary_row,oucollaborate_row,folder_row,url_col,forumng_col,homepage_col,oucontent_col,subpage_col,resource_col,sharedsubpage_col,page_col,questionnaire_col,ouwiki_col,htmlactivity_col,ouelluminate_col,dataplus_col,externalquiz_col,repeatactivity_col,dualpane_col,quiz_col,glossary_col,oucollaborate_col,folder_col
0,1,6516,AAA,2014J,4,4,4,4,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,4,4,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1,3,8462,DDD,2014J,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,6,23698,CCC,2014J,3,4,4,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,2,2,1,3,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0
3,11,24734,AAA,2014J,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4,14,25261,CCC,2014J,3,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
5,15,25572,DDD,2014J,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19,26192,AAA,2014J,4,4,4,4,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,4,4,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7,22,26315,BBB,2014J,3,4,4,4,4,3,0,0,3,0,0,0,0,0,0,0,4,3,3,0,3,4,4,4,4,4,0,0,4,0,0,0,0,0,0,0,4,4,4,0
8,23,26734,BBB,2014J,3,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,3,3,4,0,1,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,4,4,0
9,25,27116,CCC,2014J,3,4,4,4,4,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,3,4,4,3,4,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0
10,28,27417,DDD,2014J,0,4,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0
11,36,28061,AAA,2014J,4,4,4,4,4,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,4,3,4,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0
12,39,28787,CCC,2014J,3,4,4,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,3,3,1,3,2,0,4,0,0,0,0,0,0,0,0,3,0,0,0
13,42,28952,CCC,2014J,4,4,4,3,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
14,45,29411,CCC,2014J,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0
15,47,29420,CCC,2014J,3,4,4,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,1,3,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0
16,48,29639,CCC,2014J,3,4,4,4,4,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,3,4,4,3,3,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0
17,56,30096,CCC,2014J,3,3,4,4,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,1,2,1,3,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0
18,60,30850,CCC,2014J,3,4,4,4,4,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,2,4,4,2,3,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0
19,63,31161,CCC,2014J,3,4,4,4,4,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,4,3,4,2,4,4,0,3,0,0,0,0,0,0,0,0,4,0,3,0
20,65,31205,GGG,2014J,0,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0
21,68,31296,FFF,2014J,4,3,4,4,4,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,2,2,3,4,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0
