ID,id_student,code_module,code_presentation,url,forumng,homepage,oucontent,subpage,resource,sharedsubpage,page,questionnaire,ouwiki,htmlactivity,ouelluminate,dataplus,externalquiz,repeatactivity,dualpane,quiz,glossary,oucollaborate,folder,acumneg,acumg
1,6516,AAA,2014J,143,451,497,1505,143,31,0,0,0,0,0,0,21,0,0,0,0,0,0,0,256,2535
2,8462,DDD,2013J,23,36,184,64,227,70,0,0,0,18,0,0,0,12,0,0,0,0,12,0,81,565
3,8462,DDD,2014J,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
4,11391,AAA,2013J,5,193,138,553,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,836
5,23629,BBB,2013B,0,87,36,0,5,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,14,147
6,23698,CCC,2014J,5,63,121,4,98,42,0,1,0,0,0,0,0,0,0,0,576,0,0,0,181,729
7,23798,BBB,2013J,56,145,169,44,47,21,0,0,0,0,0,0,0,0,0,0,104,1,3,0,6,584
8,24186,GGG,2014B,0,14,46,9,5,8,0,0,0,0,0,0,0,0,0,0,102,0,0,0,12,172
9,24213,DDD,2014B,26,778,325,262,427,51,0,0,0,88,0,0,0,9,0,0,0,0,26,0,3,1989
10,24391,GGG,2013J,0,62,130,357,23,18,0,0,0,0,0,0,0,0,0,0,120,2,0,0,0,712
11,24734,AAA,2014J,9,158,138,161,27,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,469
12,25107,BBB,2013B,14,1584,831,1,21,23,0,0,0,0,0,1,0,0,0,0,85,2,0,0,5,2557
13,25150,EEE,2014B,36,148,282,1283,24,14,0,0,0,191,0,0,0,0,0,0,125,0,0,0,51,2052
14,25261,CCC,2014J,3,506,174,43,118,36,0,0,0,0,0,0,0,0,0,0,117,0,0,0,201,796
15,25572,DDD,2014J,6,4,44,8,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,105
16,25629,BBB,2014B,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
17,25997,BBB,2014B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13
18,26023,GGG,2013J,0,118,315,151,13,83,0,0,0,0,0,0,0,0,0,0,105,1,0,0,36,750
19,26192,AAA,2014J,162,119,525,1150,250,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,241,1982
20,26211,FFF,2014B,125,1250,2396,8328,1086,82,0,39,41,87,0,0,35,0,0,4,1711,2,16,3,308,14897
21,26247,FFF,2013J,10,139,67,120,63,9,0,5,0,27,0,0,0,0,0,0,38,0,0,0,111,367
22,26315,BBB,2014J,7,255,428,995,140,95,0,0,14,0,0,0,0,0,0,0,501,3,13,0,137,2314
23,26734,BBB,2014J,1,16,65,57,15,31,0,0,0,0,0,0,0,0,0,0,5,1,19,0,7,203
24,26915,EEE,2013J,0,23,15,17,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,34,27
25,27116,CCC,2014J,6,407,401,269,158,104,0,2,0,0,0,0,0,0,0,0,448,0,52,0,28,1819
26,27189,FFF,2014B,25,336,280,731,245,85,0,2,0,3,0,0,0,0,0,0,923,0,2,6,0,2638
27,27417,DDD,2013J,7,142,99,55,20,45,0,0,0,36,0,0,0,1,0,0,0,0,5,0,8,402
28,27417,DDD,2014J,0,25,24,30,0,4,0,0,0,0,0,0,0,0,0,0,0,10,7,0,6,94
29,27683,FFF,2014B,22,74,237,906,161,45,0,9,3,27,0,0,0,0,0,0,643,0,0,2,2,2127
30,27759,BBB,2013J,15,65,123,17,35,19,0,0,0,0,0,0,0,0,0,0,88,4,0,0,0,366
31,27780,EEE,2014B,27,17,152,246,17,12,0,0,0,0,0,0,0,0,0,0,82,0,0,0,15,538
32,27891,BBB,2013B,6,173,66,1,11,6,0,0,0,0,0,0,0,0,0,0,38,0,0,0,16,285
33,27891,BBB,2014B,2,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
34,27935,DDD,2013J,33,142,259,64,231,41,0,0,0,38,0,0,0,3,0,0,0,0,2,0,64,749
35,28046,DDD,2013J,15,92,162,100,175,32,0,0,0,75,0,0,0,10,0,0,0,0,0,0,24,637
36,28061,AAA,2014J,110,315,395,559,170,29,0,0,0,0,0,0,7,0,0,0,0,0,5,0,349,1241
37,28400,AAA,2013J,48,417,324,537,87,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,215,1220
38,28418,CCC,2014B,1,1,67,3,79,44,0,0,0,0,0,0,0,0,0,0,133,0,0,0,1,327
39,28787,CCC,2014J,3,123,144,10,82,25,0,4,0,0,0,0,0,0,0,0,254,0,0,0,38,607
40,28808,FFF,2014B,1,41,46,79,42,9,0,4,0,4,0,0,0,0,0,0,6,0,0,0,27,205
41,28897,FFF,2014B,57,175,514,1796,256,41,0,16,33,36,0,0,27,0,0,2,409,4,0,1,136,3231
42,28952,CCC,2014J,3,6,21,2,12,2,0,0,0,0,0,0,0,0,0,0,59,0,0,0,28,77
43,29144,BBB,2013B,39,436,556,3,442,358,0,0,0,0,0,0,0,0,0,0,78,2,0,0,12,1902
44,29335,FFF,2013J,60,1726,1637,3050,649,44,0,22,21,52,0,0,26,0,0,12,1538,0,1,2,146,8694
45,29411,CCC,2014J,4,3,43,13,30,9,0,0,0,0,0,0,0,0,0,0,226,0,1,0,63,266
46,29411,DDD,2013J,24,169,211,54,193,87,0,0,0,74,0,0,0,24,0,0,0,4,1,0,61,780
47,29420,CCC,2014J,8,124,155,4,103,54,0,3,0,0,0,0,0,0,0,0,365,0,0,0,19,797
48,29639,CCC,2014J,8,2332,898,486,121,96,0,3,0,0,0,0,0,0,0,0,3033,0,9,0,268,6718
49,29639,EEE,2014B,246,1183,577,829,9,13,0,0,0,463,0,0,0,0,0,1,177,0,19,0,405,3112
50,29764,CCC,2014B,8,21,224,92,288,88,0,11,0,0,0,0,0,0,0,0,2135,0,0,0,32,2835
51,29769,FFF,2013J,8,132,224,764,135,31,0,22,10,16,0,0,0,0,0,0,266,0,0,0,179,1429
52,29820,CCC,2014B,7,173,234,12,116,156,0,1,0,0,0,0,0,0,0,0,328,0,0,0,47,980
53,29820,EEE,2014B,43,295,272,380,97,53,0,0,0,203,0,0,0,0,0,0,128,0,4,0,72,1403
54,29985,GGG,2014B,0,96,125,326,30,19,0,0,0,0,0,0,0,0,0,0,164,0,0,0,5,755
55,30091,BBB,2013J,65,853,229,30,44,36,0,0,0,0,0,0,0,0,0,0,75,0,0,0,66,1266
56,30096,CCC,2014J,3,1,119,11,69,82,0,1,0,0,0,0,0,0,0,0,428,0,0,0,139,575
57,30268,AAA,2013J,4,126,59,66,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,179
58,30531,FFF,2014B,12,355,234,366,118,10,0,10,3,13,0,0,0,0,0,0,427,0,0,0,86,1462
59,30549,DDD,2013J,0,7,58,32,33,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,17,120
60,30850,CCC,2014J,4,310,441,72,123,44,0,1,0,0,0,0,0,0,0,0,1261,0,2,0,22,2236
61,31014,BBB,2013J,4,343,130,4,11,8,0,0,0,0,0,0,0,0,0,0,30,0,1,0,100,431
62,31107,GGG,2014B,0,1974,925,733,60,34,0,0,0,0,0,0,0,0,0,0,137,10,0,0,166,3707
63,31161,CCC,2014J,87,182,922,132,327,98,0,1,0,0,0,0,0,0,0,0,1180,0,3,0,263,2669
64,31173,DDD,2013J,2,162,212,228,87,44,0,0,0,110,0,0,0,7,0,0,0,0,6,0,0,858
65,31205,GGG,2014J,0,127,120,62,20,27,0,0,0,0,0,0,0,0,0,0,23,2,0,0,121,260
66,31269,DDD,2013J,13,105,75,20,49,22,0,0,0,7,0,0,0,3,0,0,0,0,6,0,140,160
67,31269,DDD,2014B,10,154,122,81,113,38,0,0,0,33,0,0,0,0,0,0,0,0,8,0,31,528
68,31296,FFF,2014J,22,11,118,397,165,11,0,0,0,2,0,0,0,0,0,0,554,0,0,0,7,1273
69,31600,AAA,2014J,2,226,67,104,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,339
