ID,code_module,code_presentation,id_student,date_registration,date_unregistration
1,AAA,2013J,11391,-159,
2,AAA,2013J,28400,-53,
3,AAA,2013J,30268,-92,12
4,AAA,2013J,31604,-52,
5,AAA,2013J,32885,-176,
6,AAA,2013J,38053,-110,
7,AAA,2013J,45462,-67,
8,AAA,2013J,45642,-29,
9,AAA,2013J,52130,-33,
10,AAA,2013J,53025,-179,
11,AAA,2013J,57506,-103,
12,AAA,2013J,58873,-47,
13,AAA,2013J,59185,-59,
14,AAA,2013J,62155,-68,
15,AAA,2013J,63400,-67,
16,AAA,2013J,65002,-180,96
17,AAA,2013J,70464,-95,
18,AAA,2013J,71361,-130,
19,AAA,2013J,74372,-50,
20,AAA,2013J,75091,-107,
21,AAA,2013J,77367,-27,
22,AAA,2013J,91265,-31,
23,AAA,2013J,94961,-170,72
24,AAA,2013J,98094,-107,
25,AAA,2013J,100893,-62,
26,AAA,2013J,101781,-103,
27,AAA,2013J,102806,-107,
28,AAA,2013J,102952,-100,
29,AAA,2013J,104476,-109,
30,AAA,2013J,106247,5,175
31,AAA,2013J,106577,-107,
32,AAA,2013J,110175,-110,
33,AAA,2013J,111717,-43,
34,AAA,2013J,113295,-26,
35,AAA,2013J,114017,-29,
36,AAA,2013J,114999,-68,
37,AAA,2013J,116541,-68,
38,AAA,2013J,116692,-32,
39,AAA,2013J,118983,-99,
40,AAA,2013J,123044,-82,
41,AAA,2013J,127582,-31,
42,AAA,2013J,129955,-197,135
43,AAA,2013J,132976,-75,
44,AAA,2013J,134143,-96,
45,AAA,2013J,135335,-29,30
46,AAA,2013J,135400,-32,144
47,AAA,2013J,137873,-195,
48,AAA,2013J,141355,-61,
49,AAA,2013J,141377,-110,129
50,AAA,2013J,142326,-37,
51,AAA,2013J,144801,-67,
52,AAA,2013J,145130,-36,
53,AAA,2013J,146188,-132,
54,AAA,2013J,147756,-92,
55,AAA,2013J,147793,-138,58
56,AAA,2013J,148993,-174,158
57,AAA,2013J,151358,-44,
58,AAA,2013J,155550,-16,
59,AAA,2013J,155854,-54,
60,AAA,2013J,155984,-64,191
61,AAA,2013J,157568,-52,
62,AAA,2013J,159954,-46,123
63,AAA,2013J,164259,-64,
64,AAA,2013J,167906,-117,
65,AAA,2013J,168936,-32,
66,AAA,2013J,172112,-50,
67,AAA,2013J,172797,-45,
68,AAA,2013J,174782,-162,
69,AAA,2013J,175392,-195,
70,AAA,2013J,175932,-92,
71,AAA,2013J,175991,-57,
72,AAA,2013J,180753,-64,
73,AAA,2013J,181316,-39,60
74,AAA,2013J,183096,-128,
75,AAA,2013J,183947,-32,
76,AAA,2013J,184271,-74,
77,AAA,2013J,185439,-12,
78,AAA,2013J,186149,-109,
79,AAA,2013J,187100,-136,
80,AAA,2013J,188278,-57,60
81,AAA,2013J,189879,-180,
82,AAA,2013J,192183,-62,
83,AAA,2013J,195262,-45,185
84,AAA,2013J,200860,-54,
85,AAA,2013J,202635,-73,166
86,AAA,2013J,205350,-68,
87,AAA,2013J,205719,-51,
88,AAA,2013J,227499,-169,
89,AAA,2013J,227517,-172,
90,AAA,2013J,228082,-31,
91,AAA,2013J,228222,-108,
92,AAA,2013J,229179,-165,
93,AAA,2013J,229361,-58,
94,AAA,2013J,231554,-29,
95,AAA,2013J,235507,-79,109
96,AAA,2013J,236284,2,
97,AAA,2013J,238007,-151,
98,AAA,2013J,240712,-45,
99,AAA,2013J,240884,-47,
100,AAA,2013J,241649,-50,
101,AAA,2013J,241729,-31,
102,AAA,2013J,242793,-36,
103,AAA,2013J,246834,-16,
104,AAA,2013J,248270,-198,
105,AAA,2013J,255548,-103,
106,AAA,2013J,256815,-117,
107,AAA,2013J,258392,-68,
108,AAA,2013J,258894,-172,
109,AAA,2013J,260355,-186,170
110,AAA,2013J,262011,-145,
111,AAA,2013J,262934,-191,
112,AAA,2013J,268073,-33,
113,AAA,2013J,268733,-17,187
114,AAA,2013J,271251,-68,
115,AAA,2013J,277880,-108,177
116,AAA,2013J,279572,-138,
117,AAA,2013J,281022,-74,
